ID,[Fe/H],E(B-V),(m-M)V,RA,DEC
Djorg1,-1.51,1.58,20.58,266.8679166666667,-33.065555555555555
Terzan5,-0.23,2.28,21.27,267.02000000000004,-24.779166666666665
ngc6440,-0.36,1.07,17.95,267.21958333333333,-20.36025
ngc6441,-0.46,0.47,16.78,267.5544166666666,-37.05144444444444
Terzan6,-0.56,2.35,21.44,267.69325,-31.275388888888887
ngc6453,-1.5,0.64,17.3,267.71541666666667,-34.59916666666667
UKS1,-0.64,3.14,24.2,268.6133333333333,-24.14527777777778
ngc6496,-0.46,0.15,15.74,269.76533333333333,-44.26594444444444
Terzan9,-1.05,1.76,19.71,270.4116666666667,-26.83972222222222
Djorg2,-0.65,0.94,16.9,270.4545833333333,-27.825833333333332
ngc6517,-1.23,1.08,18.48,270.46049999999997,-8.958777777777778
Terzan10,-1.0,2.4,21.25,270.9016666666667,-26.072499999999998
ngc6522,-1.34,0.48,15.92,270.89175,-30.033972222222225
ngc6535,-1.79,0.34,15.22,270.96045833333335,0.2976388888888889
ngc6528,-0.11,0.54,16.17,271.20683333333335,-30.05627777777778
ngc6539,-0.63,1.02,17.62,271.207,-7.585861111111111
ngc6540,-1.35,0.66,15.65,271.53583333333336,-27.76527777777778
ngc6544,-1.4,0.76,14.71,271.83575,-24.997333333333334
ngc6541,-1.81,0.14,14.82,272.00983333333335,-43.71488888888889
2MS-GC01 0,6.8,33.85,-6.11,,
ESO-SC06 -1.80,1.0,17.4,12.0,,
ngc6553,-0.18,0.63,15.83,272.3233333333333,-25.908694444444443
2MS-GC02 -1.08,1.0,30.1,24.6,,
ngc6558,-1.32,0.44,15.7,272.5733333333334,-31.76388888888889
IC1276,-0.75,1.08,17.01,272.6841666666667,-7.207611111111111
Terzan12,-0.5,2.06,19.77,273.06583333333333,-22.741944444444446
ngc6569,-0.76,0.53,16.83,273.41166666666663,-31.826888888888888
BH261,-1.3,0.36,15.19,273.52750000000003,-28.634999999999998
GLIMPSE02 -0.33,1.0,38.8,,,
ngc6584,-1.5,0.1,15.96,274.6566666666667,-52.21577777777778
ngc6624,-0.44,0.28,15.36,275.91879166666666,-30.361027777777778
ngc6626,-1.32,0.4,14.95,276.13670833333333,-24.869777777777777
ngc6638,-0.95,0.41,16.14,277.73375,-25.497472222222225
ngc6637,-0.64,0.18,15.28,277.84625,-32.348083333333335
ngc6642,-1.26,0.4,15.79,277.97541666666666,-23.475194444444444
ngc6652,-0.81,0.09,15.28,278.940125,-32.990722222222225
ngc6656,-1.7,0.34,13.6,279.09975000000003,-23.90475
Pal8,-0.37,0.32,16.53,280.37458333333336,-19.825833333333332
ngc6681,-1.62,0.07,14.99,280.80316666666664,-32.29211111111111
GLIMPSE01 0,4.85,28.15,-5.91,,
ngc6712,-1.02,0.45,15.6,283.2679166666667,-8.70611111111111
ngc6715,-1.49,0.15,17.58,283.763875,-30.47986111111111
ngc6717,-1.26,0.22,14.94,283.7751666666667,-22.701472222222222
ngc6723,-1.1,0.05,14.84,284.888125,-36.63225
ngc6749,-1.6,1.5,19.14,286.31374999999997,1.9008333333333332
ngc6752,-1.54,0.04,13.13,287.717125,-59.98455555555556
ngc6760,-0.4,0.77,16.72,287.8000416666667,1.0304722222222222
ngc6779,-1.98,0.26,15.68,289.1482083333333,30.18347222222222
Terzan7,-0.32,0.07,17.01,289.43300000000005,-34.65772222222222
Pal10,-0.1,1.66,19.01,289.50875,18.571666666666665
Arp2,-1.75,0.1,17.59,292.18379166666665,-30.35563888888889
ngc6809,-1.94,0.08,13.89,294.99879166666665,-30.96475
Terzan8,-2.16,0.12,17.47,295.4350416666667,-33.999472222222224
Pal11,-0.4,0.35,16.72,296.31,-8.007222222222222
ngc6838,-0.78,0.25,13.8,298.44370833333335,18.779194444444443
ngc6864,-1.29,0.16,17.09,301.51954166666667,-21.921166666666668
ngc6934,-1.47,0.1,16.28,308.547375,7.404472222222223
ngc6981,-1.42,0.05,16.31,313.36541666666665,-12.537305555555555
ngc7006,-1.52,0.05,18.23,315.37241666666665,16.187333333333335
ngc7078,-2.37,0.1,15.39,322.49304166666667,12.167
ngc7089,-1.65,0.06,15.5,323.36258333333336,0.82325
ngc7099,-2.27,0.03,14.64,325.0921666666667,-23.179861111111112
Pal12,-0.85,0.02,16.46,326.66183333333333,-21.25261111111111
Pal13,-1.88,0.05,17.23,346.6851666666667,12.772
ngc7492,-1.78,0.0,17.1,347.1109583333334,-15.6115
"""",,,,,
IC 4499,,,,225.076875,-82.21369444444444
2MS-GC01 18,,,,125.37333333333333,49.78624444444444
ESO-SC06 18,,,,136.30833333333334,25.479694444444444
2MS-GC02 18,,,,144.04166666666663,46.73605277777778
GLIMPSE02 18,,,,277.55833333333334,58.63726111111111
GLIMPSE01 18,,,,732.4208333333333,29.842030555555553
